Name,Family,Question,Answer,Fact,Source,Fruit image,Fruit image reference
Banana,Musaceae,Monkeys peel their bananas upside-down compared to humans,TRUE,The banana made its name after it was sold wrapped in aluminum foil for 10 cents in the 1876 Philadelphia World Fair.,https://www.thefactsite.com/banana-facts/,bananas.jpg,"Image by <a href=""https://pixabay.com/users/TheDigitalArtist-202249/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1119790"">Pete Linforth</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1119790"">Pixabay</a>"
Blackcurrant,Grossulariaceae,Leaves of blackcurrant are used as flavoring agents for producing some Vodka in Russia,TRUE,"Blackcurrant is used to make jams, jellies and syrups and is grown commercially for the juice market.",http://tonsoffacts.com/26-fun-interesting-facts-blackcurrant/,blackcurrants.jpg,"Image by <a href=""https://pixabay.com/users/PublicDomainImages-327722/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=387439"">PublicDomainImages</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=387439"">Pixabay</a>"
Blueberry,Ericaceae,The bell-shaped flowers of blueberries are blue,FALSE,"Humans are thought to have been eating blueberries for over 10,000 years.",http://tonsoffacts.com/26-fun-fascinating-facts-blueberries/,blueberries.jpg,"Image by <a href=""https://pixabay.com/users/congerdesign-509903/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2278921"">congerdesign</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2278921"">Pixabay</a>"
Chili pepper,Solanaceae,The Scoville Heat Unit (SHU) is the measure to quantify how spicy a pepper is,TRUE,The Carolina Reaper is the world's hostest chilli (2020).,https://pepperhead.com/top-10-worlds-hottest-peppers/,chillis.jpg,"Image by <a href=""https://pixabay.com/photos/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=801719"">Free-Photos</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=801719"">Pixabay</a>"
Cranberry,Ericaceae,Cranberries are harvested in summer,FALSE,Cranberry sauce is traditionally served with turkey during Thanksgiving in the US and Canada and in the UK for Christmas.,https://en.wikipedia.org/wiki/Cranberry,cranberry.jpg,"Image by <a href=""https://pixabay.com/users/12019-12019/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=93747"">David Mark</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=93747"">Pixabay</a>"
Eggplant,Solanaceae,"Eggplants belong to the same plant family as potatoes, tomatoes and chilli peppers",TRUE,Eggplants are thought to originate from India or Africa,https://en.wikipedia.org/wiki/Eggplant,aubergines.jpg,"Image by <a href=""https://pixabay.com/users/Benita5-5641102/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2514905"">Benita Welter</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=2514905"">Pixabay</a>"
Gooseberry,Grossulariaceae,Gooseberries are a rich source of vitamin C,TRUE,Gooseberry bushes are a host plant for magpie moths and comma butterflies,https://en.wikipedia.org/wiki/Gooseberry,gooseberry.jpg,"Image by <a href=""https://pixabay.com/users/GLady-768/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=176450"">GLady</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=176450"">Pixabay</a>"
Grape,Vitaceae,Yeast naturally occurs in the skin of grapes,TRUE,Armenia is home to the earliest known winery at around 4000BC,https://en.wikipedia.org/wiki/Grape,grapes.jpg,"Image by <a href=""https://pixabay.com/users/JillWellington-334088/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=553464"">Jill Wellington</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=553464"">Pixabay</a>"
Guava,Myrtaceae,Guavas are a citrus fruit,FALSE,India is the biggest producer of guavas in the world,https://en.wikipedia.org/wiki/Guava,guavas.jpg,"Image by <a href=""https://pixabay.com/users/vinjomedia-7279167/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=5319014"">Vinod John</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=5319014"">Pixabay</a>"
Kiwifruit,Actinidiaceae,"The whole skin of kiwis is suitable for people to eat, despiet its fuzziness",TRUE,"In New Zealand, kiwifruit are marketed under the brand name Zespri",https://en.wikipedia.org/wiki/Kiwifruit,kiwi.jpg,"Image by <a href=""https://pixabay.com/users/Alexas_Fotos-686414/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3199462"">Alexas_Fotos</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3199462"">Pixabay</a>"
Lucuma,Sapotaceae,Lucuma has a custard-like flavour,TRUE,"In Peru, Lucuma is the most popular flavour for ice cream and has been known as 'Gold of the Incas'.",https://www.lucuma.com/lucuma-fruit,lucuma.jpg,https://free-images.com/display/lucuma_1.html
Pomegranate,Lythraceae,The ancient Egyptians regarded the pomegranate as a symbol of fertility,FALSE,"In a classical Greek myth, Persephone, daughter of Demeter, Goddess of the Harvest, is fed pomegranate seeds by Hades and is doomed to spend a fixed number of months in the underworld every year.",https://pantheon.org/articles/p/persephone.html,pomegranate.jpg,"Image by <a href=""https://pixabay.com/users/megspl-8890573/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3383814"">megspl</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=3383814"">Pixabay</a>"
Redcurrant,Grossulariaceae,Redcurrants share the same plant family as gooseberries,TRUE,"In France, redcurrants can be used to make Lorraine jelly.",https://en.wikipedia.org/wiki/Redcurrant,redcurrants.jpg,"Image by <a href=""https://pixabay.com/users/pixel2013-2364555/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1667006"">S. Hermann &amp; F. Richter</a> from <a href=""https://pixabay.com/?utm_source=link-attribution&amp;utm_medium=referral&amp;utm_campaign=image&amp;utm_content=1667006"">Pixabay</a>"
